order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,shipping_country,customer_email,order_status,processing_time_hours
ORD001,CUST1523,2024-01-05,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,credit_card,Spain,juan.garcia@email.com,completed,24
ORD002,CUST2891,2024-01-07,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,maria.lopez@email.com,completed,48
ORD003,CUST1523,2024-01-12,PROD312,USB-C Cable,Electronics,3,12.99,38.97,credit_card,Spain,juan.garcia@email.com,completed,18
ORD004,CUST4521,2024-01-15,PROD089,Desk Lamp,Furniture,1,45.00,45.00,debit_card,Portugal,ana.silva@email.com,completed,36
ORD005,,2024-01-18,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,credit_card,Spain,,completed,22
ORD006,CUST3344,2024-01-22,PROD501,Standing Desk,Furniture,1,399.99,399.99,bank_transfer,France,pierre.dubois@email.com,completed,72
ORD007,CUST2891,2024-01-25,PROD445,Laptop Stand,Electronics,2,55.00,110.00,paypal,Spain,maria.lopez@email.com,completed,28
ORD008,CUST5632,2024-02-01,PROD189,Office Chair,Furniture,2,189.50,379.00,credit_card,Italy,giuseppe.rossi@email.com,cancelled,0
ORD009,CUST1523,2024-02-05,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Spain,juan.garcia@email.com,completed,20
ORD010,CUST7821,2024-02-08,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,paypal,Germany,hans.mueller@email.com,completed,32
ORD011,CUST4521,2024-02-12,PROD312,USB-C Cable,Electronics,5,12.99,64.95,debit_card,Portugal,ana.silva@email.com,completed,16
ORD012,CUST8934,2024-02-15,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Spain,carlos.martin@email.com,completed,68
ORD013,CUST3344,2024-02-19,,Monitor 27",Electronics,1,299.99,299.99,bank_transfer,France,pierre.dubois@email.com,completed,44
ORD014,CUST9102,2024-02-23,PROD789,Ergonomic Mouse,Electronics,2,39.99,79.98,paypal,Spain,laura.sanchez@email.com,completed,26
ORD015,CUST2891,2024-02-28,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Spain,maria.lopez@email.com,completed,30
ORD016,CUST5632,2024-03-03,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Italy,giuseppe.rossi@email.com,completed,22
ORD017,CUST1523,2024-03-07,PROD901,Notebook Set,Stationery,4,8.99,35.96,credit_card,Spain,juan.garcia@email.com,completed,14
ORD018,CUST7821,2024-03-11,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Germany,hans.mueller@email.com,pending,0
ORD019,CUST4521,2024-03-15,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,debit_card,Portugal,ana.silva@email.com,completed,28
ORD020,CUST3344,2024-03-19,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,bank_transfer,France,pierre.dubois@email.com,completed,52
ORD021,CUST8934,2024-03-23,PROD312,USB-C Cable,Electronics,10,12.99,129.90,credit_card,Spain,carlos.martin@email.com,completed,18
ORD022,CUST9102,2024-03-27,PROD567,Desk Organizer,Stationery,2,24.99,49.98,paypal,Spain,laura.sanchez@email.com,completed,24
ORD023,,2024-04-02,PROD089,Desk Lamp,Furniture,1,45.00,45.00,credit_card,Belgium,Invalid Email,completed,36
ORD024,CUST5632,2024-04-06,PROD501,Standing Desk,Furniture,1,399.99,399.99,debit_card,Italy,giuseppe.rossi@email.com,completed,80
ORD025,CUST1523,2024-04-10,PROD445,Laptop Stand,Electronics,1,55.00,55.00,credit_card,Spain,juan.garcia@email.com,completed,20
ORD026,CUST2891,2024-04-14,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,paypal,Spain,maria.lopez@email.com,completed,26
ORD027,CUST7821,2024-04-18,PROD245,Wireless Mouse,Electronics,3,29.99,89.97,credit_card,Germany,hans.mueller@email.com,completed,22
ORD028,CUST4521,2024-04-22,PROD901,Notebook Set,Stationery,2,8.99,17.98,debit_card,Portugal,ana.silva@email.com,completed,12
ORD029,CUST3344,2024-04-26,PROD189,Office Chair,Furniture,1,189.50,189.50,bank_transfer,France,pierre.dubois@email.com,completed,64
ORD030,CUST8934,2024-05-01,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Spain,carlos.martin@email.com,completed,28
ORD031,CUST9102,2024-05-05,PROD312,USB-C Cable,Electronics,7,12.99,90.93,paypal,Spain,laura.sanchez@email.com,completed,16
ORD032,CUST5632,2024-05-09,PROD567,Desk Organizer,Stationery,1,24.99,24.99,credit_card,Italy,giuseppe.rossi@email.com,completed,18
ORD033,CUST1523,2024-05-13,PROD089,Desk Lamp,Furniture,2,45.00,90.00,debit_card,Spain,juan.garcia@email.com,completed,32
ORD034,CUST2891,2024-05-17,PROD245,Wireless Mouse,Electronics,1,29.99,29.99,paypal,Spain,maria.lopez@email.com,completed,24
ORD035,CUST7821,2024-05-21,PROD501,Standing Desk,Furniture,1,399.99,399.99,credit_card,Germany,hans.mueller@email.com,shipped,48
ORD036,CUST4521,2024-05-25,PROD445,Laptop Stand,Electronics,2,55.00,110.00,debit_card,Portugal,ana.silva@email.com,completed,26
ORD037,CUST3344,2024-05-29,PROD789,Ergonomic Mouse,Electronics,1,39.99,39.99,bank_transfer,France,pierre.dubois@email.com,completed,30
ORD038,,2024-06-03,PROD901,Notebook Set,Stationery,5,8.99,44.95,credit_card,Netherlands,,completed,14
ORD039,CUST8934,2024-06-07,PROD189,Office Chair,Furniture,1,189.50,189.50,paypal,Spain,carlos.martin@email.com,completed,56
ORD040,CUST9102,2024-06-11,PROD678,Mechanical Keyboard,Electronics,1,129.99,129.99,credit_card,Spain,laura.sanchez@email.com,completed,22
ORD041,CUST5632,2024-06-15,PROD312,USB-C Cable,Electronics,4,12.99,51.96,debit_card,Italy,giuseppe.rossi@email.com,completed,18
ORD042,CUST1523,2024-06-19,PROD567,Desk Organizer,Stationery,1,24.99,24.99,credit_card,Spain,juan.garcia@email.com,completed,20
ORD043,CUST2891,2024-06-23,PROD089,Desk Lamp,Furniture,1,45.00,45.00,paypal,Spain,maria.lopez@email.com,completed,28
ORD044,CUST7821,2024-06-27,PROD245,Wireless Mouse,Electronics,2,29.99,59.98,credit_card,Germany,hans.mueller@email.com,completed,24
ORD045,CUST4521,2024-07-02,PROD501,Standing Desk,Furniture,1,399.99,399.99,debit_card,Portugal,ana.silva@email.com,completed,72
